Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed
Crewmate,Win,6,No,No,-,14m 40s,No,0
Imposter,Loss,-,-,-,2,14m 28s,Yes,
Crewmate,Win,6,Yes,No,-,08m 56s,No,0
Imposter,Win,-,-,-,0,04m 48s,No,
Crewmate,Win,1,No,Yes,-,12m 44s,No,0
Crewmate,Win,3,No,No,-,15m 42s,No,1
Crewmate,Loss,4,No,Yes,-,09m 23s,No,1
Crewmate,Win,7,Yes,Yes,-,11m 38s,No,0
Crewmate,Win,7,Yes,No,-,14m 21s,No,1
Imposter,Win,-,-,-,3,13m 10s,No,
Imposter,Loss,-,-,-,2,14m 12s,No,
Imposter,Win,-,-,-,2,10m 06s,No,
Crewmate,Win,2,No,No,-,00m 41s,No,0
Crewmate,Win,5,Yes,Yes,-,11m 08s,No,1
Crewmate,Win,5,Yes,Yes,-,10m 30s,No,2
Crewmate,Win,5,Yes,No,-,07m 53s,No,1
Crewmate,Loss,5,Yes,Yes,-,04m 04s,No,0
Crewmate,Win,5,Yes,Yes,-,06m 39s,No,0
Crewmate,Win,5,Yes,No,-,04m 12s,No,0
Imposter,Win,-,-,-,1,04m 25s,No,
Crewmate,Win,3,No,Yes,-,06m 41s,No,4
Crewmate,Win,3,No,Yes,-,09m 54s,No,0
Imposter,Win,-,-,-,2,05m 07s,No,
Crewmate,Win,2,No,No,-,06m 47s,No,3
Crewmate,Win,2,No,No,-,04m 16s,No,1
Crewmate,Loss,2,No,No,-,03m 16s,No,1
Crewmate,Loss,5,Yes,Yes,-,06m 35s,No,0
Crewmate,Loss,5,Yes,Yes,-,09m 22s,No,1
Crewmate,Win,5,Yes,No,-,05m 39s,No,1
Imposter,Loss,-,-,-,4,06m 23s,No,
Crewmate,Win,4,No,Yes,-,01m 58s,No,0
Crewmate,Loss,5,No,No,-,05m 09s,No,1
Crewmate,Loss,6,Yes,Yes,-,08m 30s,No,2
Imposter,Loss,-,-,-,1,06m 54s,Yes,
Crewmate,Win,6,Yes,Yes,-,05m 45s,No,0
Crewmate,Loss,6,Yes,Yes,-,06m 26s,No,3
Crewmate,Win,4,No,Yes,-,06m 22s,No,2
Crewmate,Win,2,No,No,-,04m 31s,No,0
Imposter,Win,-,-,-,2,04m 27s,No,
Imposter,Loss,-,-,-,1,02m 11s,Yes,
Crewmate,Loss,3,No,Yes,-,00m 54s,No,0
Crewmate,Loss,1,No,No,-,04m 52s,Yes,1
Crewmate,Loss,1,No,No,-,02m 56s,No,4
Crewmate,Loss,3,No,No,-,10m 45s,Yes,1
Crewmate,Loss,1,No,Yes,-,03m 35s,No,1
Crewmate,Loss,2,No,Yes,-,00m 51s,No,0
Crewmate,Loss,1,No,Yes,-,02m 19s,No,0
Crewmate,Loss,3,No,Yes,-,04m 43s,No,1
Imposter,Win,-,-,-,1,05m 37s,No,
Crewmate,Loss,5,Yes,Yes,-,06m 21s,No,2
Crewmate,Win,5,Yes,Yes,-,09m 22s,No,0
Crewmate,Loss,2,No,No,-,03m 06s,Yes,1
Imposter,Win,-,-,-,0,01m 35s,No,
Crewmate,Win,2,No,No,-,03m 58s,No,2
Crewmate,Loss,5,Yes,No,-,10m 14s,Yes,1
Crewmate,Win,4,No,No,-,03m 46s,No,0
Imposter,Win,-,-,-,2,02m 57s,No,
Imposter,Loss,-,-,-,2,05m 38s,Yes,
Crewmate,Win,5,Yes,No,-,07m 11s,No,0
Imposter,Win,-,-,-,2,02m 53s,No,
Crewmate,Win,5,Yes,No,-,06m 44s,Yes,3
Crewmate,Loss,5,Yes,Yes,-,07m 31s,No,0
Crewmate,Win,3,No,Yes,-,08m 04s,No,0
Imposter,Win,-,-,-,3,05m 00s,No,
Crewmate,Win,3,No,No,-,03m 33s,No,1
Crewmate,Win,5,Yes,Yes,-,06m 29s,No,0
Crewmate,Win,1,No,Yes,-,00m 57s,No,0
Crewmate,Loss,2,No,Yes,-,01m 44s,No,0
Crewmate,Loss,1,No,No,-,00m 22s,No,0
Imposter,Win,-,-,-,1,02m 12s,No,
Crewmate,Loss,5,Yes,Yes,-,07m 31s,No,2
Crewmate,Loss,2,No,Yes,-,02m 28s,No,1
Crewmate,Win,5,Yes,No,-,04m 48s,No,1
Crewmate,Loss,5,Yes,Yes,-,03m 17s,No,0
Crewmate,Win,5,Yes,No,-,06m 10s,No,0
Crewmate,Win,5,No,Yes,-,06m 32s,No,1
Crewmate,Loss,2,No,Yes,-,03m 46s,No,1
Crewmate,Win,3,No,Yes,-,04m 26s,No,0
Crewmate,Loss,2,No,No,-,04m 00s,No,0
Crewmate,Win,2,No,No,-,03m 55s,No,0
Crewmate,Loss,5,Yes,Yes,-,03m 12s,No,0
Imposter,Win,-,-,-,1,01m 59s,No,
Crewmate,Loss,3,No,Yes,-,01m 54s,No,0
Imposter,Win,-,-,-,1,02m 16s,No,
Crewmate,Win,1,No,No,-,04m 08s,No,1
Imposter,Loss,-,-,-,2,08m 23s,Yes,
Crewmate,Loss,2,No,No,-,02m 36s,No,2
Crewmate,Loss,3,No,Yes,-,04m 17s,No,1
Imposter,Loss,-,-,-,1,01m 47s,Yes,
Crewmate,Win,5,Yes,Yes,-,07m 19s,No,0
Crewmate,Win,4,No,No,-,06m 51s,No,3
Crewmate,Loss,1,No,No,-,01m 38s,No,0
Crewmate,Win,4,No,No,-,05m 55s,No,3
Crewmate,Win,4,No,No,-,11m 25s,No,5
Imposter,Win,-,-,-,2,03m 22s,No,
Crewmate,Win,4,No,Yes,-,07m 33s,No,0
Crewmate,Loss,4,No,No,-,02m 48s,No,0
Crewmate,Loss,3,No,No,-,03m 06s,No,0
Crewmate,Win,1,No,No,-,05m 29s,No,1
Crewmate,Loss,2,No,No,-,01m 16s,No,0
Crewmate,Loss,5,No,Yes,-,03m 54s,No,0
Crewmate,Win,7,Yes,No,-,08m 31s,No,2
Crewmate,Win,6,Yes,No,-,07m 42s,No,0
Imposter,Win,-,-,-,2,03m 16s,No,
Crewmate,Win,5,Yes,No,-,10m 17s,No,4
Crewmate,Win,4,No,No,-,08m 20s,No,1
Crewmate,Loss,4,No,Yes,-,08m 02s,No,1
Imposter,Win,-,-,-,2,02m 07s,No,
Crewmate,Loss,5,Yes,No,-,11m 06s,Yes,2
Crewmate,Win,3,No,No,-,04m 11s,No,2
Crewmate,Win,5,Yes,Yes,-,10m 33s,No,1
Crewmate,Win,5,Yes,Yes,-,05m 36s,No,0
Crewmate,Loss,2,No,Yes,-,03m 39s,No,0
Imposter,Win,-,-,-,1,08m 27s,No,
Crewmate,Loss,3,No,No,-,09m 35s,No,0
Crewmate,Win,6,No,No,-,08m 35s,No,0
Crewmate,Loss,10,Yes,Yes,-,19m 51s,No,0
Crewmate,Win,10,Yes,Yes,-,20m 34s,No,1
Crewmate,Win,5,No,Yes,-,08m 29s,No,1
Imposter,Win,-,-,-,1,03m 39s,No,
Crewmate,Loss,7,No,No,-,08m 14s,No,0
Crewmate,Loss,7,No,No,-,08m 14s,No,0
Crewmate,Win,3,No,No,-,14m 41s,No,1
Crewmate,Win,3,No,No,-,14m 41s,No,1
Crewmate,Win,8,Yes,Yes,-,13m 44s,No,1
Crewmate,Win,8,Yes,Yes,-,13m 43s,No,1
Crewmate,Loss,7,No,Yes,-,10m 15s,No,1
Crewmate,Loss,7,No,Yes,-,10m 15s,No,1
Crewmate,Win,8,Yes,Yes,-,16m 53s,No,0
Crewmate,Win,8,Yes,Yes,-,16m 53s,No,0
Crewmate,Loss,6,No,No,-,07m 39s,No,0
Crewmate,Loss,6,No,No,-,07m 38s,No,0
Imposter,Win,-,-,-,2,13m 22s,No,
Imposter,Win,-,-,-,2,13m 22s,No,
Imposter,Loss,-,-,-,1,06m 15s,Yes,
Imposter,Loss,-,-,-,1,06m 16s,Yes,
Crewmate,Loss,6,No,Yes,-,11m 52s,No,0
Crewmate,Loss,6,No,Yes,-,11m 52s,No,0
Crewmate,Win,5,No,Yes,-,05m 09s,No,0
Crewmate,Win,5,No,Yes,-,05m 10s,No,0
Imposter,Win,-,-,-,1,12m 08s,No,
Imposter,Win,-,-,-,1,12m 08s,No,
Crewmate,Win,8,Yes,No,-,13m 10s,No,0
Crewmate,Win,8,Yes,No,-,13m 10s,No,0
Crewmate,Loss,8,Yes,Yes,-,14m 44s,No,0
Crewmate,Loss,8,Yes,Yes,-,14m 44s,No,0
Crewmate,Loss,6,No,No,-,08m 15s,Yes,1
Crewmate,Loss,6,No,No,-,08m 15s,Yes,1
Crewmate,Loss,5,No,Yes,-,06m 24s,No,1
Crewmate,Loss,5,No,Yes,-,06m 24s,No,1
Crewmate,Loss,1,No,Yes,-,02m 35s,No,0
Crewmate,Loss,1,No,Yes,-,02m 35s,No,0
Crewmate,Loss,4,No,No,-,06m 15s,No,0
Crewmate,Loss,4,No,No,-,06m 15s,No,0
Crewmate,Win,3,No,Yes,-,08m 03s,No,0
Crewmate,Win,3,No,Yes,-,08m 03s,No,0
Crewmate,Win,1,No,Yes,-,10m 01s,No,0
Crewmate,Win,1,No,Yes,-,10m 01s,No,0
Imposter,Loss,-,-,-,2,10m 32s,Yes,
Imposter,Loss,-,-,-,2,10m 32s,Yes,
Crewmate,Win,1,No,No,-,02m 53s,No,0
Crewmate,Win,1,No,No,-,02m 53s,No,0
Crewmate,Loss,6,No,No,-,08m 20s,No,1
Crewmate,Loss,6,No,No,-,08m 20s,No,1
Crewmate,Win,3,No,No,-,05m 43s,No,0
Crewmate,Win,3,No,No,-,05m 43s,No,0
Crewmate,Loss,5,No,No,-,07m 22s,No,0
Imposter,Win,-,-,-,2,05m 15s,No,
Crewmate,Loss,6,Yes,Yes,-,13m 02s,No,1
Crewmate,Win,6,Yes,No,-,16m 28s,No,0
Crewmate,Win,6,Yes,Yes,-,17m 27s,No,0
Crewmate,Win,6,Yes,Yes,-,13m 35s,No,0
Crewmate,Loss,5,No,Yes,-,11m 48s,No,0
Crewmate,Loss,4,No,No,-,10m 13s,No,0
Crewmate,Win,5,No,No,-,05m 30s,No,1
Crewmate,Win,6,Yes,Yes,-,11m 57s,No,1
Crewmate,Loss,7,Yes,Yes,-,06m 26s,No,0
Crewmate,Loss,7,Yes,Yes,-,09m 30s,No,0
Crewmate,Win,7,Yes,Yes,-,07m 56s,No,0
Crewmate,Win,1,No,No,-,05m 06s,No,0
Crewmate,Win,7,Yes,Yes,-,09m 06s,No,0
Imposter,Win,-,-,-,0,14m 04s,No,
Imposter,Loss,-,-,-,3,05m 56s,No,
Imposter,Loss,-,-,-,2,17m 30s,No,
Crewmate,Win,7,Yes,No,-,06m 48s,No,2
Crewmate,Win,6,No,No,-,07m 03s,No,0
Crewmate,Loss,5,No,No,-,04m 44s,No,0
Crewmate,Win,2,No,No,-,04m 19s,No,0
Crewmate,Win,7,Yes,No,-,10m 00s,No,3
Crewmate,Win,7,Yes,No,-,21m 14s,No,0
Crewmate,Loss,6,No,No,-,15m 54s,No,0
Crewmate,Loss,8,Yes,No,-,15m 48s,No,2
Crewmate,Win,8,Yes,Yes,-,16m 21s,No,0
Crewmate,Win,5,No,No,-,06m 28s,No,1
Crewmate,Win,8,Yes,No,-,18m 02s,No,1
Imposter,Win,-,-,-,2,10m 14s,No,
Crewmate,Win,5,No,No,-,10m 46s,No,2
Imposter,Loss,-,-,-,1,15m 56s,No,
Crewmate,Loss,7,Yes,Yes,-,10m 40s,No,2
Crewmate,Loss,7,Yes,Yes,-,13m 28s,No,0
Crewmate,Win,7,Yes,No,-,12m 26s,No,0
Crewmate,Win,5,No,Yes,-,14m 43s,No,0
Crewmate,Win,4,No,No,-,15m 19s,No,1
Crewmate,Win,2,No,Yes,-,05m 46s,No,1
Crewmate,Loss,6,Yes,Yes,-,10m 06s,No,0
Crewmate,Win,4,No,Yes,-,08m 14s,No,0
Crewmate,Loss,5,No,No,-,11m 00s,Yes,2
Imposter,Loss,-,-,-,2,14m 10s,No,
Crewmate,Win,7,Yes,No,-,14m 11s,No,1
Crewmate,Win,7,Yes,No,-,19m 45s,No,1
Crewmate,Win,7,Yes,No,-,10m 18s,No,0
Crewmate,Win,7,Yes,No,-,19m 37s,No,1
